保険者番号,独自サービス種類コード,独自サービス項目コード,適用開始年月,適用終了年月,独自サービス名称,単位数,算定単位,制限日数回数,算定回数制限期間,支給限度額対象区分,予備項目,給付率,利用者負担額,事業対象者実施区分,要支援１受給者実施区分,要支援２受給者実施区分,要介護１受給者実施区分,要介護２受給者実施区分,要介護３受給者実施区分,要介護４受給者実施区分,要介護５受給者実施区分,国保連合会委託区分,作成年月日
122374,A6,6126,201805,202103,通所型独自サービス同一建物減算/２２,-376,3,,,3,,,,1,1,2,,,,,,1,20180501
122374,A6,6106,202104,202403,通所型独自サービス同一建物減算２,-752,3,,,,,,,2,1,2,,,,,,1,20210401
122374,A6,6106,201602,202103,通所型独自サービス同一建物減算２,-752,3,,,3,,,,2,1,2,,,,,,1,20160201
122374,A6,6207,202404,999999,通所型独自サービス同一建物減算３,-94,1,,,,,,,2,2,2,,,,,,1,20240401
122374,A6,5612,202404,999999,通所型独自送迎減算,-47,1,,,3,,,,2,2,2,,,,,,1,20240401
122374,A6,5010,201602,999999,通所型生活向上グループ活動加算,100,3,,,3,,,,2,2,2,,,,,,1,20160201
122374,A6,5020,201805,999999,通所型生活向上グループ活動加算/２,100,3,,,3,,,,2,2,2,,,,,,1,20180501
122374,A6,5002,201602,202403,通所型独自サービス運動器機能向上加算,225,3,,,3,,,,2,2,2,,,,,,1,20160201
122374,A6,5012,201805,202403,通所型独自サービス運動器機能向上加算/２,225,3,,,3,,,,2,2,2,,,,,,1,20180501
122374,A6,6109,201602,999999,通所型独自サービス若年性認知症受入加算,240,3,,,3,,,,2,2,2,,,,,,1,20160201
122374,A6,6129,201805,999999,通所型独自サービス若年性認知症受入加算/２,240,3,,,3,,,,2,2,2,,,,,,1,20180501
122374,A6,6116,202104,999999,通所型独自サービス栄養アセスメント加算,50,3,,,3,,,,2,2,2,,,,,,1,20210401
122374,A6,6120,202104,999999,通所型独自サービス栄養アセスメント加算/２,50,3,,,3,,,,2,2,2,,,,,,1,20210401
